datetime,SYM_H
2015-05-10 07:10:00,-8
2015-05-10 07:15:00,-9
2015-05-10 07:20:00,-10
2015-05-10 07:25:00,-10
2015-05-10 07:30:00,-8
2015-05-10 07:35:00,-8
2015-05-10 07:40:00,-9
2015-05-10 07:45:00,-10
2015-05-10 07:50:00,-11
2015-05-10 07:55:00,-11
2015-05-10 08:00:00,-13
2015-05-10 08:05:00,-15
2015-05-10 08:10:00,-15
2015-05-10 08:15:00,-13
2015-05-10 08:20:00,-15
2015-05-10 08:25:00,-15
2015-05-10 08:30:00,-15
2015-05-10 08:35:00,-15
2015-05-10 08:40:00,-13
2015-05-10 08:45:00,-15
2015-05-10 08:50:00,-13
2015-05-10 08:55:00,-11
2015-05-10 09:00:00,-9
2015-05-10 09:05:00,-8
2015-05-10 09:10:00,-9
2015-05-10 09:15:00,-10
2015-05-10 09:20:00,-9
2015-05-10 09:25:00,-8
2015-05-10 09:30:00,-7
2015-05-10 09:35:00,-7
2015-05-10 09:40:00,-7
2015-05-10 09:45:00,-8
2015-05-10 09:50:00,-12
2015-05-10 09:55:00,-15
2015-05-10 10:00:00,-16
2015-05-10 10:05:00,-17
2015-05-10 10:10:00,-18
2015-05-10 10:15:00,-19
2015-05-10 10:20:00,-20
2015-05-10 10:25:00,-21
2015-05-10 10:30:00,-21
2015-05-10 10:35:00,-20
2015-05-10 10:40:00,-22
2015-05-10 10:45:00,-21
2015-05-10 10:50:00,-23
2015-05-10 10:55:00,-25
2015-05-10 11:00:00,-26
2015-05-10 11:05:00,-28
2015-05-10 11:10:00,-29
2015-05-10 11:15:00,-30
2015-05-10 11:20:00,-30
2015-05-10 11:25:00,-33
2015-05-10 11:30:00,-32
2015-05-10 11:35:00,-31
2015-05-10 11:40:00,-31
2015-05-10 11:45:00,-30
2015-05-10 11:50:00,-29
2015-05-10 11:55:00,-27
2015-05-10 12:00:00,-26
2015-05-10 12:05:00,-25
2015-05-10 12:10:00,-25
2015-05-10 12:15:00,-23
2015-05-10 12:20:00,-22
2015-05-10 12:25:00,-21
2015-05-10 12:30:00,-20
2015-05-10 12:35:00,-19
2015-05-10 12:40:00,-18
2015-05-10 12:45:00,-16
2015-05-10 12:50:00,-15
2015-05-10 12:55:00,-15
2015-05-10 13:00:00,-15
2015-05-10 13:05:00,-15
2015-05-10 13:10:00,-16
2015-05-10 13:15:00,-17
2015-05-10 13:20:00,-17
2015-05-10 13:25:00,-15
2015-05-10 13:30:00,-13
2015-05-10 13:35:00,-15
2015-05-10 13:40:00,-15
2015-05-10 13:45:00,-15
2015-05-10 13:50:00,-15
2015-05-10 13:55:00,-15
2015-05-10 14:00:00,-14
2015-05-10 14:05:00,-12
2015-05-10 14:10:00,-11
2015-05-10 14:15:00,-11
2015-05-10 14:20:00,-10
2015-05-10 14:25:00,-12
2015-05-10 14:30:00,-11
2015-05-10 14:35:00,-10
2015-05-10 14:40:00,-8
2015-05-10 14:45:00,-6
2015-05-10 14:50:00,-6
2015-05-10 14:55:00,-6
2015-05-10 15:00:00,-7
2015-05-10 15:05:00,-7
2015-05-10 15:10:00,-5
2015-05-10 15:15:00,-5
2015-05-10 15:20:00,-5
2015-05-10 15:25:00,-5
2015-05-10 15:30:00,-5
2015-05-10 15:35:00,-6
2015-05-10 15:40:00,-7
2015-05-10 15:45:00,-7
2015-05-10 15:50:00,-7
2015-05-10 15:55:00,-7
2015-05-10 16:00:00,-9
2015-05-10 16:05:00,-9
